current_mA,power_mW,err_mW
109.8,39.53,0.005
100.0,32.6,0.005
90.0,26.8,0.005
80.0,20.34,0.005
75.1,17.6,0.005
70.1,13.96,0.005
60.0,7.56,0.005
50.0,1.265,0.005
49.9,1.195,0.005
49.5,0.973,5e-05
49.0,0.7073,5e-05
48.5,0.4733,5e-05
48.0,0.2525,5e-05
47.5,0.0894,5e-05
45.0,0.0558,5e-05
42.5,0.0494,5e-05
40.0,0.0441,5e-05
37.6,0.0392,5e-05
35.0,0.0346,5e-05
32.5,0.0304,5e-05
30.0,0.0266,5e-05
27.4,0.0229,5e-05
25.0,0.0197,5e-05
10.9,0.007,5e-05
10.3,0.0064,5e-05
9.1,0.0057,5e-05
8.1,0.005,5e-05
7.1,0.0045,5e-05
